block,value
x,0.99
x,0.38
x,0.96
x,0.35
x,0.71
x,0.42
x,0.37
x,0.26
x,1.27
x,1.38
x,1.95
x,0.65
x,0.4
x,0.44
x,0.36
x,0.91
x,0.36
x,0.5
x,0.34
x,1.81
x,0.59
x,0.38
x,1.54
x,1.79
x,3.27
x,1.46
x,0.81
x,1.58
x,0.78
x,0.44
x,1.77
x,0.38
x,0.38
x,1.07
x,1.9
x,0.36
x,0.64
x,0.48
x,0.76
x,1.44
x,0.47
x,2.09
x,0.66
x,3.45
x,2
x,0.64
x,1.23
x,1.25
x,0.46
x,1.19
x,0.41
x,0.92
x,0.83
x,0.29
x,0.69
x,0.38
x,4.17
x,0.87
x,0.8
x,2
x,0.44
x,4.01
x,1.16
x,1.07
x,2.15
x,0.77
x,0.4
x,0.35
x,0.87
x,1.08
x,1.49
x,0.48
x,1.11
x,4.14
x,1.86
x,2.32
x,0.5
x,1.06
x,0.29
x,0.36
x,0.42
x,0.27
x,0.4
x,2.12
x,1.13
x,0.45
x,1.44
x,0.8
x,0.25
x,1.87
x,0.39
x,0.41
x,0.28
x,0.3
x,0.32
x,0.39
x,0.61
x,1.74
x,0.31
x,0.28
x,0.41
x,0.41
x,0.61
x,2.74
x,0.31
x,1.59
x,0.28
x,0.42
x,0.51
x,0.61
x,2.04
y,0.93
y,0.26
y,0.85
y,0.33
y,0.64
y,0.29
y,0.22
y,0.25
y,1.17
y,1.38
y,2.02
y,0.6
y,0.27
y,0.35
y,0.22
y,0.95
y,0.22
y,0.44
y,0.23
y,2.04
y,0.4
y,0.18
y,1.55
y,1.53
y,3.72
y,1.02
y,0.75
y,1.53
y,0.68
y,0.35
y,2.25
y,0.26
y,0.28
y,1.08
y,2.11
y,0.27
y,0.62
y,0.33
y,0.39
y,1.44
y,0.26
y,2.53
y,0.24
y,3.56
y,2.23
y,0.54
y,1.17
y,1.35
y,0.39
y,1.31
y,0.26
y,0.7
y,0.86
y,0.19
y,0.39
y,0.18
y,3.38
y,0.75
y,0.65
y,2.1
y,0.26
y,4.07
y,1.08
y,1.13
y,1.84
y,0.68
y,0.26
y,0.18
y,0.61
y,0.22
y,1.42
y,0.33
y,0.66
y,3.91
y,1.97
y,2.59
y,0.19
y,1.02
y,0.31
y,0.3
y,0.39
y,0.25
y,0.42
y,2.09
y,1.03
y,0.35
y,1.29
y,0.89
y,0.25
y,2.52
y,0.53
y,0.41
y,0.29
y,0.22
y,0.33
y,0.34
y,0.28
y,1.2
y,0.41
y,0.4
y,0.38
y,0.38
y,0.33
y,2.6
y,0.35
y,1.43
y,0.31
y,0.57
y,0.49
y,0.59
y,1.34
